layer,nvtx,cell,x,y,z
1,10,55,-18.9988,1548.09,6994.11
1,10,55,18.4073,1499.89,6911.06
1,10,55,-18.4073,1499.89,6911.06
1,10,55,18.9988,1548.09,6922.3
1,10,55,0.35094,1548.09,6922.3
1,10,55,-18.9988,1548.09,6922.3
1,10,55,18.4073,1499.89,6841.48
1,10,55,0.35094,1499.89,6841.48
1,10,55,-18.4073,1499.89,6841.48
1,10,56,18.987,1547.12,7065.43
1,10,56,-18.987,1547.12,7065.43
1,10,56,18.4073,1499.89,6981.81
1,10,56,-18.4073,1499.89,6981.81
1,10,56,18.987,1547.12,6992.19
1,10,56,0.353151,1547.12,6992.19
1,10,56,-18.987,1547.12,6992.19
1,10,56,18.4073,1499.89,6910.8
1,10,56,0.353151,1499.89,6910.8
1,10,56,-18.4073,1499.89,6910.8
1,10,57,18.9753,1546.17,7138.19
1,10,57,-18.9753,1546.17,7138.19
1,10,57,18.4073,1499.89,7054.02
1,10,57,-18.4073,1499.89,7054.02
1,10,57,18.9753,1546.17,7063.47
1,10,57,0.355406,1546.17,7063.47
1,10,57,-18.9753,1546.17,7063.47
1,10,57,18.4073,1499.89,6981.54
1,10,57,0.355406,1499.89,6981.54
1,10,57,-18.4073,1499.89,6981.54
1,10,58,18.9638,1545.23,7212.42
1,10,58,-18.9638,1545.23,7212.42
1,10,58,18.4073,1499.89,7127.73
1,10,58,-18.4073,1499.89,7127.73
1,10,58,18.9638,1545.23,7136.19
1,10,58,0.357707,1545.23,7136.19
1,10,58,-18.9638,1545.23,7136.19
1,10,58,18.4073,1499.89,7053.73
1,10,58,0.357707,1499.89,7053.73
1,10,58,-18.4073,1499.89,7053.73
1,10,59,18.9525,1544.31,7288.17
1,10,59,-18.9525,1544.31,7288.17
1,10,59,18.4073,1499.89,7202.98
1,10,59,-18.4073,1499.89,7202.98
1,10,59,18.9525,1544.31,7210.39
1,10,59,0.360055,1544.31,7210.39
1,10,59,-18.9525,1544.31,7210.39
1,10,59,18.4073,1499.89,7127.43
1,10,59,0.360055,1499.89,7127.43
1,10,59,-18.4073,1499.89,7127.43
1,10,60,18.9413,1543.4,7365.48
1,10,60,-18.9413,1543.4,7365.48
1,10,60,18.4073,1499.89,7279.81
1,10,60,-18.4073,1499.89,7279.81
1,10,60,18.9413,1543.4,7286.11
1,10,60,0.362452,1543.4,7286.11
1,10,60,-18.9413,1543.4,7286.11
1,10,60,18.4073,1499.89,7202.66
1,10,60,0.362452,1499.89,7202.66
1,10,60,-18.4073,1499.89,7202.66
1,10,61,18.9303,1542.5,7444.39
1,10,61,-18.9303,1542.5,7444.39
1,10,61,18.4073,1499.89,7358.26
1,10,61,-18.4073,1499.89,7358.26
1,10,61,18.9303,1542.5,7363.38
1,10,61,0.364898,1542.5,7363.38
1,10,61,-18.9303,1542.5,7363.38
1,10,61,18.4073,1499.89,7279.48
1,10,61,0.364898,1499.89,7279.48
1,10,61,-18.4073,1499.89,7279.48
1,10,62,18.9194,1541.62,7524.95
1,10,62,-18.9194,1541.62,7524.95
1,10,62,18.4073,1499.89,7438.38
1,10,62,-18.4073,1499.89,7438.38
1,10,62,18.9194,1541.62,7442.26
1,10,62,0.367396,1541.62,7442.26
1,10,62,-18.9194,1541.62,7442.26
1,10,62,18.4073,1499.89,7357.91
1,10,62,0.367396,1499.89,7357.91
1,10,62,-18.4073,1499.89,7357.91
1,10,63,18.9088,1540.75,7607.2
1,10,63,-18.9088,1540.75,7607.2
1,10,63,18.4073,1499.89,7520.2
1,10,63,-18.4073,1499.89,7520.2
1,10,63,18.9088,1540.75,7522.78
1,10,63,0.369946,1540.75,7522.78
1,10,63,-18.9088,1540.75,7522.78
1,10,63,18.4073,1499.89,7438.01
1,10,63,0.369946,1499.89,7438.01
1,10,63,-18.4073,1499.89,7438.01
2,10,0,24.1818,1970.41,4372.71
2,10,0,-24.1818,1970.41,4372.71
2,10,0,19.5622,1593.99,4363.89
2,10,0,-19.5622,1593.99,4363.89
2,10,0,24.1818,1970.41,4326.67
2,10,0,0.269676,1970.41,4326.67
2,10,0,-24.1818,1970.41,4326.67
2,10,0,19.5622,1593.99,4326.67
2,10,0,0.269676,1593.99,4326.67
2,10,0,-19.5622,1593.99,4326.67
2,10,1,24.1802,1970.28,4418.91
2,10,1,-24.1802,1970.28,4418.91
2,10,1,19.5619,1593.97,4401.27
